,date,open,high,low,close,volume,trades,average
132,20191028,72.725,73.265,72.44,72.585,107163,44858,72.89518614
133,20191029,72.145,72.785,71.73,72.095,80260,40691,72.1840184
134,20191030,71.76,72.36,71.115,71.975,101301,48209,71.7174687
135,20191031,71.375,71.645,70.355,70.88,124612,57636,70.76977761
136,20191101,71.775,73.505,71.625,73.355,100560,48509,72.86190624
137,20191104,74.445,74.775,73.62,74.655,100928,45474,74.33414491
138,20191105,74.695,75.47,74.15,74.335,111650,55581,74.69773421
139,20191106,73.93,74.555,73.485,73.93,87194,41919,74.00582177
140,20191107,74.915,75.78,74.915,75.31,114518,55942,75.42590624
141,20191108,74.985,75.62,74.555,75.62,60379,29940,75.19791786
142,20191111,74.955,75.58,74.745,75.1,44250,21923,75.24411158
143,20191112,75.05,75.46,74.515,74.575,69641,31881,74.9565184
144,20191113,73.76,74.415,73.225,73.425,104108,51906,73.73213638
145,20191114,73.125,73.525,72.845,73.355,73711,35836,73.16738086
146,20191115,73.85,73.97,73.195,73.91,81306,35896,73.63627199
147,20191118,73.8,74.15,73.075,73.91,58860,27742,73.68246571
148,20191119,74.475,74.745,73.98,74.325,61841,29842,74.37537156
149,20191120,74.14,74.23,72.74,73.425,99865,47089,73.41821775
150,20191121,73.59,74.14,73.025,73.415,61686,32671,73.5781573
151,20191122,73.61,74.425,73.485,74.375,63022,29395,74.13645564
152,20191125,74.435,75.35,74.375,75.18,79292,37883,75.09807981
153,20191126,75.34,75.34,74.325,74.965,73367,34880,74.71064859
154,20191127,75.34,75.63,75.005,75.22,55737,26808,75.27689423
155,20191129,74.935,75.3,74.495,74.625,46579,21504,74.96843936
156,20191202,74.915,75.43,73.94,74.03,88862,41848,74.41361798
157,20191203,72.895,72.985,72.02,72.845,99361,50097,72.46106393
158,20191204,73.345,74.1,72.935,73.74,62852,28159,73.79869508
159,20191205,74.16,74.355,73.86,74.22,65965,31903,74.12006432
160,20191206,75.43,75.72,75.1,75.31,79881,36156,75.48302751
161,20191209,74.685,75.42,74.575,74.835,67382,30423,75.07622472
