,date,open,high,low,close,volume,trades,average
44,20190624,67.82,68.51,67.38,67.41,82039,40820,67.858
45,20190625,67.46,67.48,66.48,66.54,104597,50314,66.879
46,20190626,67.04,67.72,66.76,67.22,98005,48872,67.291
47,20190627,67.62,68.43,67.53,68.15,80194,39336,68.0525
48,20190628,69.28,70.21,69.12,70.03,130038,65544,69.77
49,20190701,70.86,71.64,70.19,70.74,107364,52768,70.862
50,20190702,70.36,70.98,70.09,70.44,86724,41751,70.4515
51,20190703,70.71,71.2,70.28,70.85,58208,30951,70.8195
52,20190705,71.27,71.8,70.98,71.4,73413,38166,71.317
53,20190708,70.76,71.69,70.64,71.13,84130,44080,71.2655
54,20190709,70.53,71.67,70.41,71.56,71606,35816,71.299
55,20190710,71.5,71.94,70.65,71.13,102573,45839,71.224
56,20190711,71.43,72,71.09,71.61,91565,44658,71.5995
57,20190712,71.8,72.02,71.58,71.77,130986,61078,71.805
58,20190715,71.73,72.15,70.08,71.71,186982,82945,71.513
59,20190716,71.7,72,71.09,71.32,139219,67754,71.4965
60,20190717,71.19,71.5,70.62,70.82,103922,48279,71.089
61,20190718,70.54,71.9,70.48,71.79,107295,55155,71.553
62,20190719,71.73,72.17,70.86,70.92,88592,41181,71.3905
63,20190722,70.72,71.29,70.67,71.11,56683,27169,70.976
64,20190723,71.26,72.18,71.26,71.99,94874,41140,71.917
65,20190724,71.68,73.09,71.66,73.01,103803,43381,72.5135
66,20190725,72.96,73.08,70.93,71.39,129978,56814,71.8095
67,20190726,72.15,72.64,71.84,72.16,79890,36478,72.2475
68,20190729,71.91,72.34,71.73,71.76,66542,30545,72.025
69,20190730,71.03,71.71,70.58,71.71,73436,33384,71.173
70,20190731,71.4,71.66,70.81,71.16,108801,57589,71.2495
71,20190801,70.67,71.09,67.6,68.35,193637,95385,69.019
72,20190802,67.61,68.06,66.62,67.61,124244,61093,67.3045
73,20190805,65.6,65.82,64.58,65.18,171651,79187,65.2855
74,20190806,66,66.33,64.83,66.25,103009,50467,65.679
75,20190807,64.63,65.32,63.64,65.14,152458,74599,64.449
76,20190808,65.85,66.79,65.63,66.74,104632,49101,66.4015
77,20190809,66.46,66.57,65.21,66.05,110327,53210,65.9635
78,20190812,64.61,64.79,63.84,64.24,110194,52833,64.318
79,20190813,63.9,65.96,63.51,64.83,156277,76085,65.2475
80,20190814,62.88,63.04,61.18,61.41,232524,102839,61.852
81,20190815,61.98,62.37,60.72,61.32,138171,64999,61.471
82,20190816,61.93,63.66,61.85,63.48,132294,56318,63.0315
83,20190819,64.82,64.91,64.16,64.31,101602,46734,64.493
84,20190820,63.72,64.09,63.35,63.42,80332,36840,63.6965
85,20190821,64.13,64.17,63.06,63.25,104065,43514,63.5025
86,20190822,63.81,64.21,63.41,63.91,70540,32186,63.9425
87,20190823,63.28,64.13,61.52,61.95,135212,70858,62.7315
88,20190826,62.57,62.82,62.17,62.72,80811,35751,62.4785
89,20190827,63.01,63.1,61.16,61.66,122677,55708,61.754
90,20190828,61.3,62.8,61.3,62.36,92948,39829,62.397
91,20190829,63.31,64.23,63.1,63.9,97601,41987,63.8125
92,20190830,64.34,64.82,64.18,64.35,87854,37964,64.4985
93,20190903,64,64.04,62.32,63.42,98691,47952,63.1245
94,20190904,64,64.48,63.84,64.28,80246,31817,64.2265
95,20190905,65.65,67.28,65.61,66.34,124154,56276,66.6365
96,20190906,66.19,66.5,65.75,65.97,83126,38774,66.15
97,20190909,66.8,69.3,66.69,68.79,163185,72052,68.338
98,20190910,69.18,70.01,68.45,68.98,147385,68503,69.0475
99,20190911,68.72,69.22,68.11,68.9,98670,49020,68.8165
100,20190912,68.11,70.06,67.93,69.3,131546,64798,69.252
101,20190913,70.34,70.74,69.85,70.39,114511,57076,70.383
102,20190916,68.96,70.11,68.96,69.83,78372,37595,69.6965
103,20190917,69.78,69.78,68.67,69.48,80369,39846,69.302
104,20190918,69.21,70.35,68.96,70.09,87973,45928,69.71
105,20190919,70.06,70.47,69.59,69.73,77017,38449,70.0965
106,20190920,70.15,70.54,69.33,69.35,132193,56756,69.9565
107,20190923,68.62,69.7,68.61,69.55,62229,30146,69.3695
108,20190924,69.5,69.57,67.55,67.9,120997,56748,68.279
109,20190925,67.91,69.7,67.87,69.38,90497,42321,69.0805
110,20190926,69.32,69.53,68.8,69.11,68958,32339,69.227
111,20190927,69.82,70.36,69.05,69.46,83076,42082,69.678
112,20190930,69.8,69.9,69.01,69.08,56363,27572,69.2465
113,20191001,69.57,70.27,68.01,68.15,104537,49228,68.797
114,20191002,67.76,67.8,66.19,66.26,115482,53603,66.6375
115,20191003,66.08,66.73,64.79,66.7,93911,49270,65.969
116,20191004,66.76,68.24,66.66,68.18,83240,40305,67.6165
117,20191007,67.87,68.84,67.86,68.15,62670,29503,68.3215
118,20191008,67.03,67.18,66.02,66.4,112348,50837,66.6235
119,20191009,67,67.77,66.79,67.43,67205,32063,67.344
120,20191010,67.77,69.29,67.55,68.62,79280,38162,68.777
121,20191011,69.99,70.93,69.99,70.1,120128,61055,70.4625
122,20191014,69.53,70.5,69.46,70.24,92994,42077,70.168
123,20191015,70.17,72.08,68.7,71.22,190413,84892,71.2715
124,20191016,70.82,71.46,69.42,69.5,136990,60072,70.0575
125,20191017,70.03,70.34,69.18,69.6,94218,45758,69.7755
126,20191018,69.32,70.09,69.14,69.74,82090,34495,69.702
127,20191021,70.52,71.89,70.52,71.81,105200,46790,71.4535
128,20191022,71.72,72.87,71.47,72.06,92225,40873,72.1775
129,20191023,71.9,72.47,71.73,72.45,76967,34794,72.126
130,20191024,72.55,72.86,71.86,72.3,60564,28801,72.2005
131,20191025,71.97,73.42,71.81,73.17,88938,38643,73.0875
132,20191028,73.73,74.28,73.44,73.59,107163,44858,73.903
133,20191029,73.14,73.79,72.72,73.09,80260,40691,73.182
134,20191030,72.75,73.36,72.1,72.97,101301,48209,72.709
135,20191031,72.36,72.63,71.33,71.86,124612,57636,71.749
136,20191101,72.25,73.99,72.1,73.84,100560,48509,73.345
137,20191104,74.94,75.27,74.11,75.15,100928,45474,74.827
138,20191105,75.19,75.97,74.64,74.83,111650,55581,75.193
139,20191106,74.42,75.05,73.97,74.42,87194,41919,74.4965
140,20191107,75.41,76.28,75.41,75.81,114518,55942,75.926
141,20191108,75.48,76.12,75.05,76.12,60379,29940,75.6965
142,20191111,75.45,76.08,75.24,75.6,44250,21923,75.743
143,20191112,75.55,75.96,75.01,75.07,69641,31881,75.4535
144,20191113,74.25,74.91,73.71,73.91,104108,51906,74.221
145,20191114,73.61,74.01,73.33,73.84,73711,35836,73.6525
146,20191115,74.34,74.46,73.68,74.4,81306,35896,74.1245
147,20191118,74.29,74.64,73.56,74.4,58860,27742,74.171
148,20191119,74.97,75.24,74.47,74.82,61841,29842,74.8685
149,20191120,74.63,74.72,73.22,73.91,99865,47089,73.905
150,20191121,74.08,74.63,73.51,73.9,61686,32671,74.066
151,20191122,74.1,74.92,73.97,74.87,63022,29395,74.628
152,20191125,74.93,75.85,74.87,75.68,79292,37883,75.596
153,20191126,75.84,75.84,74.82,75.46,73367,34880,75.206
154,20191127,75.84,76.13,75.5,75.72,55737,26808,75.776
155,20191129,75.43,75.8,74.99,75.12,46579,21504,75.4655
156,20191202,75.41,75.93,74.43,74.52,88862,41848,74.907
157,20191203,73.38,73.47,72.5,73.33,99361,50097,72.9415
158,20191204,73.83,74.59,73.42,74.23,62852,28159,74.288
159,20191205,74.65,74.85,74.35,74.71,65965,31903,74.6115
160,20191206,75.93,76.22,75.6,75.81,79881,36156,75.9835
161,20191209,75.18,75.92,75.07,75.33,67382,30423,75.574
162,20191210,75.07,76.27,74.87,75.78,102725,45675,75.749
163,20191211,76.12,76.21,75.5,75.55,82003,35139,75.707
164,20191212,75.81,77.52,75.62,77.05,134412,67758,76.974
